ping_time,route,busId,lat,lng,bearing,direction,plateNumber,status,velocity
2026-01-25T00:02:56.857875,100,42113,31.960043,35.9574,261.2,1,58-42113,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,11529,31.98739,35.90292,0,1,58-11529,🟢 MOVING,2.7053616641490006
2026-01-25T00:02:56.857875,100,15402,32.02276,35.84703,251.9,1,58-15402,🟢 MOVING,8.363726176287155
2026-01-25T00:02:56.857875,100,71773,32.000263,36.01559,17.6,1,58-71773,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,40779,32.00053,36.013718,204.2,1,58-40779,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,11505,32.004364,36.014698,157.4,1,58-11505,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,93641,32.005196,36.013493,101.6,1,58-93641,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,99781,32.002823,36.014645,196.96,1,58-99781,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,95161,31.96134,35.958145,44.1,1,58-95161,🛑 PARKED (EXTREME),0.0
2026-01-25T00:02:56.857875,100,11544,32.000275,36.01489,0,1,58-11544,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,32446,32.02268,35.846764,71.59,1,58-32446,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,11715,32.00021,36.01469,350.25,1,58-11715,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,95761,32.00043,36.014458,283.6,1,58-95761,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,10987,31.961317,35.958103,0,1,58-10987,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,11014,32.001465,36.014034,196.9,1,58-11014,🟡 STOPPED (BOARDING?),0.0
2026-01-25T00:02:56.857875,100,31890,32.000546,36.014816,18.6,1,58-31890,🟡 STOPPED (BOARDING?),0.0
